num_hidden_layers,neurons_per_layer,epochs,batch_size,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,training_time_sec,epoch_90_accuracy,epoch_95_accuracy
1,500,50,20,0.000405,1.0,0.252098,0.946154,0.471458,0.95,41.43607,4,44.0
1,500,50,50,0.001541,1.0,0.310408,0.94,0.661924,0.886667,36.30865,7,36.0
1,500,50,100,0.021629,0.994987,0.258122,0.945,0.430412,0.91,37.90694,12,27.0
1,500,75,20,0.000147,1.0,0.322797,0.95,0.606325,0.916667,67.81929,5,14.0
1,500,75,50,0.000623,1.0,0.365888,0.94,1.000744,0.893333,56.697461,9,32.0
1,500,75,100,0.001985,1.0,0.277129,0.935,0.610438,0.88,53.876253,11,30.0
1,500,100,20,7.7e-05,1.0,0.380566,0.946154,0.710808,0.905556,92.323581,5,98.0
1,500,100,50,0.000241,1.0,0.241567,0.94,0.701244,0.906667,80.199599,5,31.0
1,500,100,100,0.001696,1.0,0.463161,0.93,1.238843,0.82,80.016168,11,32.0
1,500,125,20,0.001362,1.0,0.32654,0.938462,0.566245,0.894444,121.62473,6,88.0
1,500,125,50,0.000129,1.0,0.334508,0.94,0.695311,0.893333,94.978524,8,24.0
1,700,50,20,0.000326,1.0,0.32095,0.942308,0.761728,0.894444,45.834792,11,55.0
1,500,125,100,0.00042,1.0,0.360798,0.94,0.735757,0.87,85.9816,5,43.0
1,700,50,100,0.006904,1.0,0.198446,0.955,0.577023,0.88,35.624854,9,18.0
1,700,50,50,0.003723,1.0,0.270786,0.948,0.696203,0.9,37.59432,10,33.0
1,700,75,50,0.000427,1.0,0.337591,0.956,0.601385,0.893333,56.595459,6,67.0
1,700,75,20,0.000128,1.0,0.365602,0.942308,0.643963,0.911111,64.711805,7,19.0
1,700,75,100,0.004034,1.0,0.294277,0.94,0.744343,0.91,49.916129,13,44.0
1,700,100,20,4.8e-05,1.0,0.262998,0.95,0.583925,0.933333,74.29464,4,18.0
1,700,100,50,0.000783,1.0,0.378384,0.948,0.802053,0.86,67.090923,10,68.0
1,700,100,100,0.003794,0.998747,0.445215,0.92,0.627194,0.88,66.695285,13,42.0
1,700,125,20,1.7e-05,1.0,0.264329,0.953846,0.557793,0.922222,95.069002,6,18.0
1,700,125,50,0.000115,1.0,0.353577,0.94,0.908365,0.866667,89.17594,10,32.0
1,900,50,20,0.000135,1.0,0.250014,0.953846,0.540018,0.911111,40.292315,11,104.0
1,700,125,100,0.000458,1.0,0.494821,0.92,0.545165,0.91,74.044713,4,23.0
1,900,50,50,0.005129,1.0,0.258792,0.948,0.552468,0.913333,33.10643,8,17.0
1,900,50,100,0.008434,1.0,0.199777,0.935,0.556497,0.88,30.655814,14,
1,900,75,50,0.00029,1.0,0.236276,0.944,0.745971,0.88,48.77814,4,6.0
1,900,75,20,6.2e-05,1.0,0.321756,0.930769,0.528066,0.927778,58.305012,6,25.0
1,900,75,100,0.003117,1.0,0.45092,0.94,0.875079,0.88,44.781001,14,
1,900,100,20,2.2e-05,1.0,0.506338,0.926923,0.892759,0.883333,76.281016,8,
1,900,100,50,0.097538,0.971698,0.48773,0.912,0.822382,0.826667,63.884621,8,24.0
1,900,100,100,0.000804,1.0,0.393658,0.93,0.608005,0.9,55.847168,11,29.0
1,900,125,50,8.2e-05,1.0,0.259893,0.96,0.686996,0.933333,71.918006,5,26.0
1,900,125,20,1.1e-05,1.0,0.350913,0.946154,0.685646,0.9,107.516764,7,26.0
1,1200,50,20,0.00013,1.0,0.344144,0.938462,0.447499,0.927778,43.534037,9,35.0
1,900,125,100,0.114899,0.95614,0.787268,0.89,1.274671,0.81,76.606836,6,
1,1200,50,50,0.000859,1.0,0.29865,0.932,0.642153,0.893333,34.817038,6,
1,1200,50,100,0.008153,0.998747,0.329906,0.925,0.50259,0.88,31.566452,13,36.0
1,1200,75,20,4.4e-05,1.0,0.325607,0.938462,0.619169,0.905556,56.114749,6,
1,1200,75,50,0.00034,1.0,0.397623,0.94,0.594096,0.893333,50.452688,7,27.0
1,1200,75,100,0.000942,1.0,0.236419,0.955,0.585331,0.87,42.668584,10,15.0
1,1200,100,20,2.4e-05,1.0,0.195945,0.953846,0.50994,0.905556,79.189265,3,15.0
1,1200,100,50,0.000136,1.0,0.40619,0.936,0.891242,0.88,61.258484,6,17.0
1,1200,100,100,0.000629,1.0,0.425792,0.93,0.896156,0.91,58.276602,13,25.0
1,1200,125,20,2.2e-05,1.0,0.307795,0.953846,0.713661,0.905556,89.463279,4,28.0
1,1200,125,50,0.000103,1.0,0.371034,0.94,0.874555,0.86,76.950574,7,35.0
1,1200,125,100,0.000285,1.0,0.404505,0.92,0.998729,0.86,69.667165,11,
2,500,50,20,0.00014,1.0,0.284497,0.953846,0.495,0.922222,38.934947,3,26.0
2,500,50,100,0.010557,0.99875,0.408344,0.935,0.92332,0.83,29.906347,12,41.0
2,500,50,50,0.016987,0.994104,0.392892,0.912,0.713322,0.86,39.769623,13,
2,500,75,50,0.001875,1.0,0.184122,0.952,0.483933,0.92,57.621019,6,60.0
2,500,75,20,0.012344,0.995444,0.519079,0.911538,0.564166,0.894444,68.892549,8,23.0
2,500,75,100,0.060001,0.982456,0.291938,0.92,0.615736,0.86,49.865904,8,69.0
2,500,100,20,1.8e-05,1.0,0.324499,0.957692,0.593068,0.905556,90.677112,4,10.0
2,500,100,50,0.000108,1.0,0.404559,0.94,0.826901,0.913333,72.008594,8,40.0
2,500,100,100,0.000198,1.0,0.284208,0.95,0.454577,0.93,64.717258,10,20.0
2,500,125,20,2.4e-05,1.0,0.312247,0.953846,0.625454,0.9,103.492761,5,15.0
2,500,125,50,0.000623,1.0,0.41415,0.936,0.868437,0.873333,89.027255,7,64.0
2,700,50,20,6.4e-05,1.0,0.286264,0.930769,0.499107,0.911111,47.03115,9,37.0
2,500,125,100,0.000332,1.0,0.413888,0.915,0.860324,0.86,76.345693,6,
2,700,50,100,0.019937,0.991228,0.182275,0.955,0.90791,0.81,33.048827,7,49.0
2,700,50,50,0.000269,1.0,0.378989,0.94,0.714775,0.866667,36.135342,13,18.0
2,700,75,50,0.004632,0.998821,0.253916,0.952,0.780551,0.886667,52.940301,5,13.0
2,700,75,20,0.000147,1.0,0.21624,0.957692,0.617525,0.894444,65.969171,6,24.0
2,700,75,100,0.000488,1.0,0.447101,0.935,0.935244,0.86,46.836262,9,
2,700,100,20,4.3e-05,1.0,0.499571,0.934615,0.790165,0.905556,105.324939,4,56.0
2,700,100,50,0.000109,1.0,0.336672,0.944,0.639593,0.906667,79.806996,5,17.0
2,700,100,100,0.000388,1.0,0.431993,0.93,1.047506,0.83,70.213128,12,16.0
2,700,125,20,6e-06,1.0,0.422394,0.942308,1.078094,0.894444,124.050759,6,
2,700,125,50,4.1e-05,1.0,0.375181,0.928,0.772149,0.906667,95.270805,8,
2,900,50,20,2.2e-05,1.0,0.471969,0.938462,0.683101,0.888889,54.13359,8,35.0
2,700,125,100,0.000111,1.0,0.444353,0.94,0.583693,0.9,88.75226,7,
2,900,50,50,0.00035,1.0,0.290517,0.932,0.745474,0.893333,39.674486,8,
2,900,50,100,0.001211,1.0,0.431226,0.935,0.882841,0.88,37.192169,8,31.0
2,900,75,50,8.8e-05,1.0,0.361504,0.944,0.614206,0.9,61.179533,3,19.0
2,900,75,20,2e-05,1.0,0.347817,0.953846,0.72533,0.888889,79.24725,6,30.0
2,900,75,100,0.000611,1.0,0.186203,0.955,0.614009,0.89,54.66872,11,15.0
2,900,100,20,4e-06,1.0,0.582553,0.934615,0.93682,0.888889,103.239151,3,
2,900,100,50,5.8e-05,1.0,0.437792,0.94,0.812986,0.9,75.189468,6,77.0
2,900,100,100,0.036431,0.991228,0.251706,0.945,0.756212,0.89,68.08886,5,22.0
2,900,125,20,1.6e-05,1.0,0.520503,0.942308,0.600063,0.911111,142.509872,6,23.0
2,900,125,50,2.6e-05,1.0,0.42434,0.936,0.862098,0.913333,109.032364,8,50.0
2,1200,50,20,3.5e-05,1.0,0.376417,0.934615,0.606595,0.916667,62.677215,10,23.0
2,900,125,100,0.000114,1.0,0.266641,0.94,0.7958,0.86,98.385324,5,
2,1200,50,50,0.000195,1.0,0.231414,0.968,0.817936,0.9,44.366965,5,19.0
2,1200,50,100,0.001103,1.0,0.330341,0.94,0.74229,0.87,40.566732,10,27.0
2,1200,75,50,6.6e-05,1.0,0.393456,0.952,0.777335,0.893333,74.588804,5,62.0
2,1200,75,20,1.5e-05,1.0,0.489989,0.942308,0.728012,0.905556,99.067658,4,26.0
2,1200,75,100,0.000185,1.0,0.500022,0.92,0.847159,0.87,64.97495,10,
2,1200,100,20,3e-06,1.0,0.22038,0.965385,0.856867,0.894444,129.492245,4,10.0
2,1200,100,50,5.3e-05,1.0,0.477403,0.94,1.093708,0.866667,94.85947,7,16.0
2,1200,100,100,0.000109,1.0,0.392326,0.93,0.513422,0.91,86.216138,9,25.0
2,1200,125,20,2.3e-05,1.0,0.473154,0.942308,0.811647,0.911111,153.105895,6,67.0
2,1200,125,50,6.3e-05,1.0,0.3049,0.944,0.908139,0.853333,115.09476,6,107.0
3,500,50,20,5.1e-05,1.0,0.390673,0.942308,0.816211,0.9,47.320662,8,27.0
2,1200,125,100,0.000456,1.0,0.337733,0.95,0.814689,0.88,87.601475,7,16.0
3,500,50,50,0.038673,0.987059,0.517159,0.888,0.845218,0.84,38.294463,5,21.0
3,500,50,100,0.014272,0.996241,0.237516,0.96,0.614777,0.88,36.943261,10,23.0
3,500,75,50,0.078692,0.977594,0.403793,0.92,0.685349,0.873333,58.208589,6,
3,500,75,20,2.2e-05,1.0,0.52643,0.938462,0.912735,0.872222,70.96104,7,50.0
3,500,75,100,0.026514,0.989975,0.314828,0.93,1.059563,0.83,51.715307,13,39.0
3,500,100,20,4e-06,1.0,0.470588,0.938462,0.819825,0.905556,92.060315,5,54.0
3,500,100,50,0.054581,0.982311,0.360995,0.932,1.056261,0.78,74.985565,5,40.0
3,500,100,100,0.001538,1.0,0.385877,0.945,0.636269,0.88,66.973209,13,39.0
3,500,125,20,0.000159,1.0,0.214209,0.961538,0.529141,0.922222,116.097359,3,13.0
3,500,125,50,4.4e-05,1.0,0.483319,0.94,0.779654,0.913333,91.50598,8,34.0
3,700,50,20,4.5e-05,1.0,0.443865,0.942308,0.647261,0.905556,53.591006,8,30.0
3,500,125,100,0.000291,1.0,0.322184,0.94,0.511193,0.94,86.945267,5,
3,700,50,50,0.063902,0.977594,0.403658,0.908,0.839376,0.8,39.214086,9,
3,700,50,100,0.002252,1.0,0.429147,0.93,0.489664,0.92,37.028629,11,
3,700,75,50,4.6e-05,1.0,0.349585,0.944,0.724017,0.893333,62.545283,5,
3,700,75,20,0.000228,1.0,0.466944,0.934615,0.840625,0.877778,94.259982,6,39.0
3,700,75,100,0.000174,1.0,0.534841,0.935,0.445465,0.93,58.498458,12,54.0
3,700,100,20,3e-06,1.0,0.534586,0.938462,0.837381,0.883333,118.28463,6,
3,700,100,50,0.012246,0.995283,0.492105,0.9,0.859809,0.853333,86.721501,9,59.0
3,700,100,100,6.6e-05,1.0,0.398567,0.92,0.718829,0.92,75.651716,11,
3,700,125,20,3e-06,1.0,0.502153,0.946154,0.752533,0.927778,150.101858,4,12.0
3,700,125,50,5e-05,1.0,0.404057,0.944,0.768577,0.9,104.6301,6,94.0
3,900,50,20,3.1e-05,1.0,0.453971,0.946154,0.679199,0.888889,64.720534,10,70.0
3,700,125,100,7.8e-05,1.0,0.49283,0.925,0.796361,0.86,99.213734,8,45.0
3,900,50,50,0.01065,0.996462,0.270088,0.952,0.642452,0.88,43.030478,6,34.0
3,900,50,100,0.000388,1.0,0.407243,0.94,0.489994,0.94,42.591177,9,
3,900,75,50,6.1e-05,1.0,0.624429,0.932,1.335453,0.853333,76.442649,5,
3,900,75,20,0.125818,0.961276,0.261667,0.934615,0.562376,0.861111,99.294228,8,51.0
3,900,75,100,0.000123,1.0,0.344965,0.935,0.898389,0.85,65.890687,9,40.0
3,900,100,20,0.012747,0.996583,0.40919,0.930769,0.776219,0.877778,124.473276,8,76.0
3,900,100,50,2.1e-05,1.0,0.380721,0.936,0.756312,0.92,108.64645,8,39.0
3,900,100,100,0.000324,1.0,0.273482,0.95,0.98515,0.85,83.738335,8,45.0
3,900,125,50,1.8e-05,1.0,0.420646,0.94,1.031298,0.86,124.381491,7,
3,900,125,20,2e-06,1.0,0.742695,0.919231,1.007211,0.877778,191.927873,7,60.0
3,1200,50,20,0.021782,0.992027,0.243338,0.938462,0.518429,0.894444,87.802226,10,27.0
3,900,125,100,0.000361,1.0,0.276695,0.945,0.546571,0.93,120.705786,6,
3,1200,50,50,0.004062,0.998821,0.622466,0.908,1.410361,0.8,56.643164,13,
3,1200,50,100,0.00061,1.0,0.387439,0.935,0.696842,0.91,49.854901,8,33.0
3,1200,75,50,3.3e-05,1.0,0.450069,0.936,0.844826,0.853333,97.686791,4,21.0
3,1200,75,20,1.1e-05,1.0,0.380116,0.942308,0.683133,0.911111,142.602738,5,
3,1200,75,100,0.000118,1.0,0.239492,0.95,0.708504,0.89,80.752088,10,30.0
3,1200,100,50,6e-06,1.0,0.469786,0.94,0.883139,0.893333,124.317694,5,
3,1200,100,20,0.085328,0.976082,0.305582,0.930769,0.464923,0.855556,190.239881,5,48.0
3,1200,100,100,2.2e-05,1.0,0.63955,0.915,1.233611,0.84,106.455853,11,45.0
3,1200,125,20,1e-06,1.0,0.526164,0.946154,0.899651,0.883333,227.496463,4,87.0
3,1200,125,50,1.5e-05,1.0,0.378862,0.94,1.006242,0.846667,168.692072,8,
3,1200,125,100,2e-05,1.0,0.511825,0.93,0.896421,0.86,91.665544,6,21.0
