model_type,colors_used,num_train_samples,epochs,batch_size,train_time_sec,test_loss,test_accuracy,epoch_90_accuracy,epoch_95_accuracy
FFNN,R,300,200,20,11.715716123580933,0.5493530631065369,0.9375,,
FFNN,R,600,200,20,14.11591649055481,0.6525784134864807,0.875,,
FFNN,R,900,200,20,17.630290746688843,0.6223698854446411,0.8125,,
FFNN,R,1500,200,20,23.351582527160645,0.5176830291748047,0.75,,
FFNN,G,300,200,20,11.683659791946411,0.7274818420410156,0.6875,,
FFNN,G,600,200,20,14.305052280426024,0.5577355027198792,0.6875,,
FFNN,G,900,200,20,17.41791582107544,0.4993444085121155,0.75,,
FFNN,G,1500,200,20,23.14029335975647,0.6810321807861328,0.6875,,
FFNN,B,300,200,20,12.305056810379028,0.6962510347366333,0.6875,,
FFNN,B,600,200,20,14.2557110786438,0.3663672804832458,0.875,,
FFNN,B,900,200,20,17.7501699924469,0.3706255555152893,0.8125,,
FFNN,B,1500,200,20,23.73701810836792,0.7038848400115967,0.6875,,
FFNN,RG,300,200,20,12.600613832473757,0.9098178148269652,0.625,,
FFNN,RG,600,200,20,14.421082019805908,0.7093507051467896,0.5625,,
FFNN,RG,900,200,20,17.42024827003479,0.5809780955314636,0.75,,
FFNN,RG,1500,200,20,22.494892835617065,0.4037418067455292,0.875,,
FFNN,RB,300,200,20,11.884244680404665,0.8532522320747375,0.625,,
FFNN,RB,600,200,20,14.47040057182312,1.019242286682129,0.625,,
FFNN,RB,900,200,20,17.728877782821655,0.9551004767417908,0.5625,,
FFNN,RB,1500,200,20,23.06029176712036,0.8308676481246948,0.5,,
FFNN,GB,300,200,20,11.89173412322998,0.7124729156494141,0.6875,,
FFNN,GB,600,200,20,14.217351198196411,0.7669923305511475,0.75,,
FFNN,GB,900,200,20,17.30706763267517,0.7997401356697083,0.625,,
FFNN,GB,1500,200,20,23.391940355300903,0.7323983907699585,0.8125,,
FFNN,"R,G",300,200,20,12.45345401763916,0.2578067183494568,0.9375,,
FFNN,"R,G",600,200,20,14.876941680908203,0.6417965888977051,0.75,,
FFNN,"R,G",900,200,20,18.040363073349,0.2893141508102417,0.875,,
FFNN,"R,G",1500,200,20,25.374610900878903,0.0973684638738632,1.0,,
FFNN,"R,B",300,200,20,12.496926069259644,0.5080379247665405,0.75,,
FFNN,"R,B",600,200,20,14.362674951553345,0.2143278121948242,1.0,,
FFNN,"R,B",900,200,20,17.799847841262817,0.1864938735961914,0.9375,,
FFNN,"R,B",1500,200,20,23.56879210472107,0.3859724402427673,0.875,,
FFNN,"R,RG",300,200,20,11.99332332611084,0.2091563940048217,0.875,,
FFNN,"R,RG",600,200,20,14.904220819473268,0.1146788299083709,1.0,,
FFNN,"R,RG",900,200,20,17.871739387512207,0.1938527524471283,0.875,,
FFNN,"R,RG",1500,200,20,25.45830798149109,0.0809122025966644,1.0,,
FFNN,"R,RB",300,200,20,12.578233003616331,0.2628799080848694,0.9375,,
FFNN,"R,RB",600,200,20,14.839190006256104,0.315933346748352,0.875,,
FFNN,"R,RB",900,200,20,17.929256439208984,0.2896901071071625,0.875,,
FFNN,"R,RB",1500,200,20,24.35572552680969,0.2684150040149688,0.875,,
FFNN,"R,GB",300,200,20,11.840624809265137,0.2530843615531921,0.9375,,
FFNN,"R,GB",600,200,20,16.053919076919556,0.3960197269916534,0.875,,
FFNN,"R,GB",900,200,20,18.95734143257141,0.0609442219138145,1.0,,
FFNN,"R,GB",1500,200,20,23.53134489059448,0.2841352820396423,0.875,,
FFNN,"G,B",300,200,20,12.11306118965149,0.2491015493869781,0.875,,
FFNN,"G,B",600,200,20,14.6553373336792,0.1826007217168808,1.0,,
FFNN,"G,B",900,200,20,17.37576937675476,0.3535296320915222,0.8125,,
FFNN,"G,B",1500,200,20,24.61899209022522,0.1128521710634231,1.0,,
FFNN,"G,RG",300,200,20,11.884576797485352,0.3350867629051208,0.875,,
FFNN,"G,RG",600,200,20,14.691643714904783,0.1122367605566978,0.9375,,
FFNN,"G,RG",900,200,20,17.662993907928467,0.1345605850219726,0.9375,,
FFNN,"G,RG",1500,200,20,25.04943060874939,0.0413752868771553,1.0,,
FFNN,"G,RB",300,200,20,12.279751300811768,0.4162912368774414,0.8125,,
FFNN,"G,RB",600,200,20,14.612659692764282,0.11544019728899,1.0,,
